Datum letzte Änderung_Modul;AGS;Regierungsbezirk;Landkreis;Gemeinde;Datum_Modul1; Link_Modul1; Datum_Modul2; Link_Modul2; Datum_Modul3; Link_Modul3; Datum_Modul4; Link_Modul4; Datum_Modul5; Link_Modul5; Datum_Modul6; Link_Modul6; Datum_Modul7; Link_Modul7; Datum_Modul8; Link_Modul8; Datum_Modul9; Link_Modul9;Status Verfahren
;09275111;Niederbayern;Passau;Aicha vorm Wald;<b>1: </b>  2014-04-18 ||<b>2: </b>2015-07-09;http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/AichavormWald.aspx||http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/AichavormWald/AichavormWaldII.aspx;<b>1: </b>  2014-12-05 ||<b>2: </b>2015-07-09;http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/AichavormWald.aspx||http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/AichavormWald/AichavormWaldII.aspx;<b>1: </b>  2015-02-06 ||<b>2: </b>2015-08-15;http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/AichavormWald.aspx||http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/AichavormWald/AichavormWaldII.aspx;<b>1: </b>  2015-02-06 ||<b>2: </b>2015-08-15;http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/AichavormWald.aspx||http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/AichavormWald/AichavormWaldII.aspx;;;;;;;;;;;;
;09771113;Schwaben;Aichach-Friedberg;Aichach, St;2015-10-03;http://www.aichach.de/breitband/index.php;2015-10-03;http://www.aichach.de/breitband/index.php;;;;;;;;;;;;;;;;
;09774166;Schwaben;Günzburg;Aichen;2013-07-26;;2013-11-16;;2014-01-31;;2014-01-31;;2014-06-28;;2014-07-24;;2014-09-12;;2014-10-24;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10027/141024_Fördersteckbrief_Aichen.pdf;;;;
;09275112;Niederbayern;Passau;Aidenbach, M;<b>1: </b>  2013-11-26 ||<b>2: </b>2015-03-19;||http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Aidenbach/AidenbachII.aspx;<b>1: </b>  2014-02-04 ||<b>2: </b>2015-03-19;||http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Aidenbach/AidenbachII.aspx;<b>1: </b>  2014-03-22 ||<b>2: </b>2015-06-27;||http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Aidenbach/AidenbachII.aspx;<b>1: </b>  2014-03-22 ||<b>2: </b>2015-06-27;||http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Aidenbach/AidenbachII.aspx;<b>1: </b> 2014-07-30;;<b>1: </b> 2015-02-02;;<b>1: </b> 2015-05-20;;<b>1: </b> 2015-05-21;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10237/150410_Fördersteckbrief_Aidenbach.pdf;<b>1: </b> 2015-08-28;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10357/150824_Projektbeschreibung_Aidenbach.pdf;;
;09674111;Unterfranken;Haßberge;Aidhausen;2013-07-30;http://vghofheim.de/index.php?id=268;2014-06-07;http://vghofheim.de/index.php?id=268;2014-10-10;http://www.vghofheim.de/index.php?id=266;2014-10-10;http://www.vghofheim.de/index.php?id=266;2015-07-09;http://www.vghofheim.de;2015-10-13;http://www.vghofheim.de/index.php?id=266;;;;;;;;
;09273113;Niederbayern;Kelheim;Aiglsbach;2014-08-29;http://vg.elsendorf.de/?page_id=175;2014-08-29;http://vg.elsendorf.de/?page_id=175;2014-11-14;http://vg.elsendorf.de/?page_id=175;2014-12-12;http://vg.elsendorf.de/?page_id=175;2015-08-29;http://vg.elsendorf.de/?page_id=175;;;;;;;;;;
30.04.2015_4;09771114;Schwaben;Aichach-Friedberg;Aindling, M;<em> 2013-06-25</em>;;<em> 2014-11-07</em>;;<em> 2015-03-04</em>;;<em> 2015-03-04*</em>;;;;;;;;;;;;ausgesetzt_2015-10-27
;09172111;Oberbayern;Berchtesgadener Land;Ainring;2015-04-11;http://www.ainring.de/aktuelles/breitbanderschlie%C3%9Fung_ainring.html;2015-04-11;http://www.ainring.de/aktuelles/breitbanderschlie%C3%9Fung_ainring.html;2015-10-16;http://www.ainring.de/aktuelles/breitbanderschlie%C3%9Fung_ainring.html;2015-10-16;http://www.ainring.de/aktuelles/breitbanderschlie%C3%9Fung_ainring.html;;;;;;;;;;;;
23.09.2015_4;09773111;Schwaben;Dillingen a.d. Donau;Aislingen, M;2015-03-14;http://www.aislingen.de/index.php?seite=Aktuelles-detail&autowert=FS5501597d1a685;2015-03-14;http://www.aislingen.de/index.php?seite=Aktuelles-detail&autowert=FS5501597d1a685;2015-09-11;http://www.aislingen.de/index.php?seite=Aktuelles-detail&autowert=FS55effdcde83a2;2015-09-11*;http://www.aislingen.de/index.php?seite=Aktuelles-detail&autowert=FS55effdcde83a2;;;;;;;;;;;;
;09278113;Niederbayern;Straubing-Bogen;Aiterhofen;2014-01-22;http://www.aiterhofen.de/Aktuelles/Aktuelles%20Info/Breitbandfoerderung.htm;2014-08-28;http://www.aiterhofen.de/aktuelles/Aktuelles%20Info/Breitbandfoerderung.htm;;;;;;;;;;;;;;;;
;09777111;Schwaben;Ostallgäu;Aitrang;2015-04-08;http://www.vgem-biessenhofen.de/vgem/vgem-infos/Breitbandausbau-Neu-2015;2015-04-08;http://www.vgem-biessenhofen.de/vgem/vgem-infos/Breitbandausbau-Neu-2015;;;;;;;;;;;;;;;;
;09187186;Oberbayern;Rosenheim;Albaching;2014-12-06;http://www.albaching.de;2014-12-06;http://www.albaching.de;2015-04-08;http://www.albaching.de;2015-04-08;http://www.albaching.de;;;;;;;;;;;;
;09675112;Unterfranken;Kitzingen;Albertshofen;2014-12-06;http://www.kitzingen.de/albertshofen/30928.Breitbandausbau.html;2014-12-06;http://www.kitzingen.de/albertshofen/30928.Breitbandausbau.html;;;;;;;;;;;;;;;;
;09275114;Niederbayern;Passau;Aldersbach;<b>1: </b>  2013-12-21 ||<b>2: </b>2015-01-31;http://aldersbach.de/index.php/91-breitbandausbau-2||http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Aldersbach.aspx;<b>1: </b>  2014-03-29 ||<b>2: </b>2015-01-31;http://aldersbach.de/index.php?option=com_content&view=article&id=91:breitbandausbau-2&catid=8&Itemid=435||http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Aldersbach.aspx;<b>1: </b>  2014-05-14 ||<b>2: </b>2015-05-22;http://aldersbach.de/index.php?option=com_content&view=article&id=91:breitbandausbau-2&catid=8&Itemid=435||http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Aldersbach/AldersbachI.aspx;<b>1: </b>  2014-05-14 ||<b>2: </b>2015-05-22;http://aldersbach.de/index.php?option=com_content&view=article&id=91:breitbandausbau-2&catid=8&Itemid=435||http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Aldersbach/AldersbachI.aspx;<b>1: </b> 2015-01-21;http://aldersbach.de/index.php?option=com_content&view=article&id=91:breitbandausbau-2&catid=8&Itemid=435;<b>1: </b> 2015-07-06;http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Aldersbach.aspx;;;;;;;;
;09577113;Mittelfranken;Weißenburg-Gunzenhausen;Alesheim;2015-03-25;http://www.vgem-altmuehltal.de/index.php?id=2035,1;2015-03-25;http://www.vgem-altmuehltal.de/index.php?id=2035,1;2015-10-10;http://www.vgem-altmuehltal.de/index.php?id=2177,1;2015-10-10;http://www.vgem-altmuehltal.de/index.php?id=2183,1;;;;;;;;;;;;
;09774111;Schwaben;Günzburg;Aletshausen;2015-08-12;http://www.vg-krumbach.de/;2015-08-12;http://www.vg-krumbach.de/cms/index.php?option=com_content&view=article&id=13&Itemid=117;;;;;;;;;;;;;;;;
;09574111;Mittelfranken;Nürnberger Land;Alfeld;2015-03-27;http://www.alfeld-mfr.de;2015-03-27;http://breitband.regensburg-it.de/alfeld#markterkundung-bekanntmachung;2015-08-19;http://breitband.regensburg-it.de/alfeld#markterkundung-ergebnis;2015-08-19;http://breitband.regensburg-it.de/alfeld#auswahlverfahren-bekanntmachung;;;;;;;;;;;;
17.08.2015_4;09576113;Mittelfranken;Roth;Allersberg, M;2014-12-23;http://www.allersberg.de/index.php?id=763;2014-12-23;http://www.allersberg.de/index.php?id=763;2015-07-25;http://www.allersberg.de/index.php?id=763;2015-07-25*;http://www.allersberg.de/index.php?id=763;;;;;;;;;;;;
;09178113;Oberbayern;Freising;Allershausen;<b>1: </b>  2013-05-17 ||<b>2: </b>2015-09-05;http://www.allershausen.de/dynasite.cfm?dsmid=69646||http://www.allershausen.de/newsblock-1;<b>1: </b>  2013-11-07 ||<b>2: </b>2015-09-05;http://www.allershausen.de/dynasite.cfm?dsmid=69646||http://www.allershausen.de/newsblock-1;<b>1: </b> 2014-02-18;http://www.allershausen.de;<b>1: </b> 2014-03-01;http://www.allershausen.de;<b>1: </b> 2014-11-12;http://www.allershausen.de/newsblock-1;<b>1: </b> 2015-05-20;http://www.allershausen.de/newsblock-1;;;;;;;;
;09179113;Oberbayern;Fürstenfeldbruck;Alling;2014-09-30;http://alling.de/index.php?id=0,110;;;;;;;;;;;;;;;;;;
;09772114;Schwaben;Augsburg;Allmannshofen;2014-11-13;http://www.allmannshofen.de/foerderung-des-breitbandausbaues;2014-11-21;http://www.allmannshofen.de/foerderung-des-breitbandausbaues;;;;;;;;;;;;;;;;
