Datum letzte Änderung_Modul;AGS;Regierungsbezirk;Landkreis;Gemeinde;Datum_Modul1; Link_Modul1; Datum_Modul2; Link_Modul2; Datum_Modul3; Link_Modul3; Datum_Modul4; Link_Modul4; Datum_Modul5; Link_Modul5; Datum_Modul6; Link_Modul6; Datum_Modul7; Link_Modul7; Datum_Modul8; Link_Modul8; Datum_Modul9; Link_Modul9;Status Verfahren
;09477118;Oberfranken;Kulmbach;Guttenberg;2015-02-19;http://www.gemeinde-guttenberg.de/breitbandversorgung/aktuell/;2015-02-19;http://www.gemeinde-guttenberg.de/breitbandversorgung/aktuell/;;;;;;;;;;;;;;;;
;09674139;Unterfranken;Haßberge;Gädheim;2015-10-30;http://breitband.zukunft-hassberge.de/index.php?id=72;2015-10-30;http://breitband.zukunft-hassberge.de/index.php?id=72;;;;;;;;;;;;;;;;
;09777131;Schwaben;Ostallgäu;Görisried;2014-11-27;http://www.vg-unterthingau.de/index.php?id=91;2014-11-27;http://www.vg-unterthingau.de/index.php?id=91;;;;;;;;;;;;;;;;
;09677132;Unterfranken;Main-Spessart;Gössenheim;2014-08-20;http://www.vgem-gemuenden.de/html/breitbandforderung_gossenheim.html;2014-08-20;http://www.vgem-gemuenden.de/html/breitbandforderung_gossenheim.html;2014-10-31;http://www.vgem-gemuenden.de/html/breitbandforderung_gossenheim.html;2015-05-09;http://www.vgem-gemuenden.de/html/breitbandforderung_gossenheim.html;2015-09-01;http://www.vgem-gemuenden.de/html/breitbandforderung_gossenheim.html;2015-10-13;http://www.vgem-gemuenden.de/html/breitbandforderung_gossenheim.html;2015-10-03;http://www.vgem-gemuenden.de/html/breitbandforderung_gossenheim.html;;;;;;
;09474129;Oberfranken;Forchheim;Gößweinstein, M;2014-08-12;;2014-08-12;;2014-09-23;;2014-10-01;;2015-01-15;;2015-04-23;;2015-04-29;;2015-06-09;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10285/150608_Fördersteckbriefe_Gößweinstein.pdf;;;;
;09679142;Unterfranken;Würzburg;Güntersleben;2014-05-31;http://www.guentersleben.de/Startseite/Breitbandfoerderung/K191.htm;2014-07-30;http://www.guentersleben.de/Startseite/Breitbandfoerderung/K191.htm;2014-10-30;http://www.guentersleben.de/Startseite/Breitbandfoerderung/K191.htm;2014-10-30;http://www.guentersleben.de/Startseite/Breitbandfoerderung/K191.htm;2015-07-07;http://www.guentersleben.de/Startseite/Breitbandfoerderung/K191.htm;;;;;;;;;;
28.09.2015_4;09777138;Schwaben;Ostallgäu;Günzach;2015-01-13;http://www.oberguenzburg.de/breitband/foerderverfahren.html;2015-01-13;http://www.oberguenzburg.de/breitband/foerderverfahren.html;2015-09-15;http://www.oberguenzburg.de/breitband/markterkundung-ergebnis.html;2015-09-17*;http://www.oberguenzburg.de/breitband/auswahlverfahren.html;;;;;;;;;;;;
;09774135;Schwaben;Günzburg;Günzburg, GKSt;2013-10-23;;2014-03-11;;2014-08-13;;2014-08-22;;2015-04-17;;2015-07-02;;2015-08-04;;2015-08-15;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10346/150803_Fördersteckbrief_Günzburg.pdf;;;;
;09472146;Oberfranken;Bayreuth;Haag;2014-02-18;http://www.haag-oberfranken.de;2014-06-27;http://www.haag-oberfranken.de/;2014-10-29;http://www.haag-oberfranken.de/;2014-10-29;http://www.haag-oberfranken.de/;2015-07-24;http://www.haag-oberfranken.de/;;;2015-07-24;http://www.haag-oberfranken.de/;;;;;;
;09178129;Oberbayern;Freising;Haag a.d.Amper;2014-12-16;http://www.gemeinde-haag.de/index.php?id=11490,91;2014-12-16;http://www.gemeinde-haag.de/index.php?id=11490,91;2015-07-10;http://breitband.regensburg-it.de/haag_amper;2015-07-10;http://breitband.regensburg-it.de/haag_amper;;;;;;;;;;;;
03.08.2015_4;09183119;Oberbayern;Mühldorf;Haag i.OB, M;2015-01-31;http://www.markt-haag.de/;2015-01-31;http://www.markt-haag.de/;2015-05-29;http://www.markt-haag.de/ortsentwicklung/Breitband-Markterkundung.html;2015-05-29*;http://www.markt-haag.de/ortsentwicklung/Breitband-Markterkundung.html;;;;;;;;;;;;
;09184123;Oberbayern;München;Haar;2015-04-03;http://www.gemeinde-haar.de;2015-04-03;http://www.gemeinde-haar.de;;;;;;;;;;;;;;;;
;09275125;Niederbayern;Passau;Haarbach;<b>1: </b>  2014-01-08 ||<b>2: </b>2014-12-18;||http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Haarbach.aspx;<b>1: </b>  2014-03-26 ||<b>2: </b>2014-12-18;||http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Haarbach.aspx;<b>1: </b>  2014-05-14 ||<b>2: </b>2015-04-25;||http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Haarbach.aspx;<b>1: </b>  2014-07-29 ||<b>2: </b>2015-04-25;||http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Haarbach.aspx;<b>1: </b>  2015-02-21 ||<b>2: </b>2015-10-30;||http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Haarbach/HaarbachI.aspx;<b>1: </b> 2015-04-23;;<b>1: </b> 2015-05-21;;<b>1: </b> 2015-05-21;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10233/150518_Fördersteckbrief_Haarbach.pdf;;;;
;09190126;Oberbayern;Weilheim-Schongau;Habach;2015-07-10;https://www.vg-habach.de/news/1/290790/nachrichten/breitbandausbau-in-habach.html;2015-07-10;https://www.vg-habach.de/news/1/290790/nachrichten/breitbandausbau-in-habach.html;;;;;;;;;;;;;;;;
;09677135;Unterfranken;Main-Spessart;Hafenlohr;2015-01-13;http://www.Hafenlohr.de;2015-01-13;http://www.Hafenlohr.de;2015-06-30;http://www.hafenlohr.de/Rathaus/aktuell.html;2015-06-30;http://www.hafenlohr.de/Rathaus/aktuell.html;;;;;;;;;;;;
;09375143;Oberpfalz;Regensburg;Hagelstadt;2014-06-07;http://www.hagelstadt.de/Aktuelles/aktuelles.php;2014-08-01;http://www.hagelstadt.de/Aktuelles/aktuelles.php;2014-12-17;http://www.hagelstadt.de/Aktuelles/aktuelles.php;2014-12-17;http://www.hagelstadt.de/Aktuelles/aktuelles.php;2015-06-25;http://www.hagelstadt.de/Aktuelles/aktuelles.php;2015-09-16;http://www.hagelstadt.de/Aktuelles/aktuelles.php;2015-06-25;http://www.hagelstadt.de/Aktuelles/aktuelles.php;;;;;;
28.01.2015_4;09575129;Mittelfranken;Neustadt a.d. Aisch;Hagenbüchach;2014-08-13;;2014-08-13;;2014-11-08;;2014-11-08*;;2015-04-03;;2015-04-23;;2015-07-28;;2015-09-19;http://schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10383/150918_Hagenbüchach_Fo¨rdersteckbrief.pdf;;;;
27.04.2015_4;09371126;Oberpfalz;Amberg-Sulzbach;Hahnbach, M;2014-06-26;http://www.hahnbach.de;2014-08-30;http://www.hahnbach.de/;2015-04-11;http://www.hahnbach.de/breitbandausbau.php;2015-04-11*;http://www.hahnbach.de/breitbandausbau.php;;;;;;;;;;;;
03.03.2015_4;09278129;Niederbayern;Straubing-Bogen;Haibach;2014-07-10;http://www.haibach-elisabethszell.de;2014-09-13;http://haibach-elisabethszell.jimdo.com/b%C3%BCrgerservice/dsl-breitbandausbau/markterkundung/;2015-01-14;http://www.haibach-elisabethszell.de;2015-01-14*;http://haibach-elisabethszell.jimdo.com/bürgerservice/dsl-breitbandausbau/auswahlverfahren-bekanntmachung/;2015-07-30;http://haibach-elisabethszell.jimdo.com/b%C3%BCrgerservice/dsl-breitbandausbau/bekanntmachung-auswahlentscheidung/;;;;;;;;;;
;09272122;Niederbayern;Freyung-Grafenau;Haidmühle;2014-12-24;http://www.haidmuehle.eu/deutsch/aktuelles/aktuelles.html;2014-12-24;http://www.haidmuehle.eu/deutsch/aktuelles/aktuelles.html;2015-03-20;http://breitband.regensburg-it.de/haidmuehle;2015-03-20;http://breitband.regensburg-it.de/haidmuehle;;;;;;;;;;;;
26.06.2015_4;09171118;Oberbayern;Altötting;Haiming;2014-12-18;http://www.haiming.de;2014-12-18;http://www.haiming.de;2015-04-02;http://www.haiming.de;2015-05-22*;http://www.haiming.de/index.php?target=97;;;;;;;;;;;;
;09779154;Schwaben;Donau-Ries;Hainsfarth;2014-12-02;http://www.hainsfarth.de/breitbandausbau/breitbandausbau.html;2014-12-02;http://www.hainsfarth.de/breitbandausbau/breitbandausbau.html;;;;;;;;;;;;;;;;
;09777173;Schwaben;Ostallgäu;Halblech;2015-04-15;http://www.gemeinde-halblech.de/;2015-04-15;http://breitband.regensburg-it.de/halblech#markterkundung-bekanntmachung;;;;;;;;;;;;;;;;
;09780122;Schwaben;Oberallgäu;Haldenwang;2014-08-27;http://www.haldenwang.de;2015-03-24;http://breitband.regensburg-it.de/haldenwang_oa#markterkundung-bekanntmachung;2015-08-15;http://breitband.regensburg-it.de/haldenwang_oa#markterkundung-ergebnis;2015-08-15;http://breitband.regensburg-it.de/haldenwang_oa#auswahlverfahren-bekanntmachung;;;;;;;;;;;;
;09474133;Oberfranken;Forchheim;Hallerndorf;2014-12-19;http://hallerndorf.de/leben_in_hallerndorf/schnelles_internet.php;2014-12-19;http://hallerndorf.de/leben_in_hallerndorf/schnelles_internet.php;2015-04-01;http://hallerndorf.de/leben_in_hallerndorf/schnelles_internet.php;2015-04-01;http://hallerndorf.de/leben_in_hallerndorf/schnelles_internet.php;;;;;;;;;;;;
;09471140;Oberfranken;Bamberg;Hallstadt, St;2015-10-10;http://www.hallstadt.de/index.php?id=4435,201;2015-10-10;http://www.hallstadt.de/index.php?id=4435,201;;;;;;;;;;;;;;;;
12.10.2015_4;09171119;Oberbayern;Altötting;Halsbach;2015-01-31;http://www.halsbach.de/index.php/aktuell/breitband;2015-01-31;http://www.halsbach.de/index.php/aktuell/breitband;2015-07-31;http://www.halsbach.de/index.php/aktuell/breitband;2015-07-31*;http://www.halsbach.de/index.php/aktuell/breitband;;;;;;;;;;;;
;09672127;Unterfranken;Bad Kissingen;Hammelburg, St;2013-07-23;http://breitband-kg.de/gemeinden/hammelburg/;2014-01-16;http://breitband-kg.de/gemeinden/hammelburg/;2014-10-31;http://www.hammelburg.de/bauen-gewerbe/aktuelles/146-breitbandausbau-der-stadt-hammelburg;2014-10-31;http://www.hammelburg.de/bauen-gewerbe/aktuelles/146-breitbandausbau-der-stadt-hammelburg;2015-05-27;http://www.hammelburg.de/bauen-gewerbe/aktuelles/146-breitbandausbau-der-stadt-hammelburg;2015-10-13;http://www.hammelburg.de/bauen-gewerbe/aktuelles/146-breitbandausbau-der-stadt-hammelburg;2015-10-16;http://www.hammelburg.de/bauen-gewerbe/aktuelles/146-breitbandausbau-der-stadt-hammelburg;;;;;;
;09779155;Schwaben;Donau-Ries;Harburg (Schwaben), St;2015-08-11;http://www.stadt-harburg-schwaben.de/index.php?id=2917,16;2015-08-11;http://www.stadt-harburg-schwaben.de/index.php?id=2917,16;;;;;;;;;;;;;;;;
;09477119;Oberfranken;Kulmbach;Harsdorf;2014-06-05;http://www.vg-trebgast.de/gemeinde-harsdorf/breitbandversorgung/;2014-09-03;http://www.vg-trebgast.de/gemeinde-harsdorf/breitbandversorgung/;2015-01-24;http://www.vg-trebgast.de/gemeinde-harsdorf/breitbandversorgung/;2015-01-27;http://www.vg-trebgast.de/gemeinde-harsdorf/breitbandversorgung/;2015-06-17;http://www.vg-trebgast.de/gemeinde-harsdorf/breitbandversorgung/;;;;;;;;;;
15.07.2015_4;09574129;Mittelfranken;Nürnberger Land;Hartenstein;2014-11-27;http://www.hartenstein-mfr.de/index.php/551.html;2014-11-27;http://www.hartenstein-mfr.de/index.php/551.html;2015-07-01;http://www.hartenstein-mfr.de/index.php/551.html;2015-07-01*;http://www.hartenstein-mfr.de/index.php/551.html;;;;;;;;;;;;
05.02.2015_4;09278134;Niederbayern;Straubing-Bogen;Haselbach;<b>1: </b>  2013-10-09 ||<b>2: </b>2015-10-29;http://www.haselbach-gemeinde.de/||http://www.haselbach-gemeinde.de/index.php/service/versorgung-entsorgung/breitbandausbau-2;<b>1: </b>  2014-08-27 ||<b>2: </b>2015-10-29;http://www.haselbach-gemeinde.de/index.php/service/versorgung-entsorgung/breitbandausbau||http://www.haselbach-gemeinde.de/index.php/service/versorgung-entsorgung/breitbandausbau-2;<b>1: </b> 2015-01-21;http://www.haselbach-gemeinde.de/index.php/service/versorgung-entsorgung/breitbandausbau;<b>1: </b> 2015-01-21*;http://www.haselbach-gemeinde.de/index.php/service/versorgung-entsorgung/breitbandausbau;<b>1: </b> 2015-08-15;http://www.haselbach-gemeinde.de/index.php/service/versorgung-entsorgung/breitbandausbau/2-uncategorised/164-breitbandausbau-ergebnis;<b>1: </b> 2015-09-09;http://www.haselbach-gemeinde.de/index.php/service/versorgung-entsorgung/breitbandausbau/2-uncategorised/164-breitbandausbau-ergebnis;<b>1: </b> 2015-09-23;http://www.haselbach-gemeinde.de/index.php/service/versorgung-entsorgung/breitbandausbau/2-uncategorised/164-breitbandausbau-ergebnis;;;;;;
;09677137;Unterfranken;Main-Spessart;Hasloch;<b>1: </b>  2013-06-13 ||<b>2: </b>2015-10-30;||http://www.hasloch.de;<b>1: </b>  2014-01-16 ||<b>2: </b>2015-10-30;||http://breitband.regensburg-it.de/hasloch2#markterkundung-bekanntmachung;<b>1: </b> 2014-03-25;;<b>1: </b> 2014-03-25;;<b>1: </b> 2014-08-06;;<b>1: </b> 2014-10-24;;<b>1: </b> 2014-11-04;;<b>1: </b> 2014-12-09;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10113/150408_Fördersteckbrief_Hasloch.pdf;;;;
17.08.2015_4;09179128;Oberbayern;Fürstenfeldbruck;Hattenhofen;2015-04-14;http://www.vgmammendorf.de;2015-04-14;http://www.vgmammendorf.de;2015-06-23;http://www.vgmammendorf.de/index.php?id=12212,1344;2015-06-23*;http://www.vgmammendorf.de/index.php?id=12212,1344;;;;;;;;;;;;
;09577138;Mittelfranken;Weißenburg-Gunzenhausen;Haundorf;2013-11-07;http://www.haundorf.de/index.php/gemeinde/daten-fakten/breitbandausbau;2014-08-09;http://www.haundorf.de;2014-11-08;http://www.haundorf.de/index.php/gemeinde/daten-fakten/breitbandausbau.html;2014-11-13;http://www.haundorf.de/index.php/gemeinde/daten-fakten/breitbandausbau.html;2015-06-24;http://www.haundorf.de/index.php/gemeinde/daten-fakten/breitbandausbau.html;2015-10-13;http://www.haundorf.de/index.php/gemeinde/daten-fakten/breitbandausbau.html;2015-09-19;http://www.haundorf.de/index.php/gemeinde/daten-fakten/breitbandausbau.html;;;;;;
;09773137;Schwaben;Dillingen a.d. Donau;Haunsheim;2013-01-18;;2013-03-26;;2013-08-31;;2013-08-31;;2014-02-07;;2014-07-23;;2014-11-19;;2014-11-19;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10083/141114_Fördersteckbrief_Haunsheim.pdf;;;;
;09673129;Unterfranken;Rhön-Grabfeld;Hausen;2013-12-13;;2014-03-27;;2014-07-09;;2014-07-09;;2014-11-28;;2015-02-02;;2015-02-06;;2015-02-10;http://schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10147/150209_Fördersteckbrief_Hausen(Rhön%20Grabfeld).pdf;;;;
;09474134;Oberfranken;Forchheim;Hausen;2014-11-28;http://www.hausen.de;2014-11-28;http://breitband.regensburg-it.de/hausen#markterkundung-bekanntmachung;2015-05-20;http://breitband.regensburg-it.de/hausen#markterkundung-ergebnis;2015-05-20;http://breitband.regensburg-it.de/hausen#auswahlverfahren-bekanntmachung;;;;;;;;;;;;
;09273125;Niederbayern;Kelheim;Hausen;2014-11-26;http://www.gemeinde-hausen.de;2014-11-26;http://www.gemeinde-hausen.de;2015-02-05;http://www.gemeinde-hausen.de;2015-02-05;http://www.gemeinde-hausen.de;2015-08-11;http://www.gemeinde-hausen.de/schnelles-internet;;;2015-08-11;http://www.gemeinde-hausen.de/schnelles-internet;;;;;;
;09679143;Unterfranken;Würzburg;Hausen b.Würzburg;2015-03-18;http://www.hausen-wzbg.de/ueberblick/breitbandausbau;2015-10-27;http://www.hausen-wzbg.de/ueberblick/breitbandausbau;;;;;;;;;;;;;;;;
;09182119;Oberbayern;Miesbach;Hausham;2014-11-27;http://www.hausham.de/hausham/breitband/schnelles_internet.php;2014-11-27;http://www.hausham.de/hausham/breitband/schnelles_internet.php;2015-04-03;http://www.hausham.de/hausham/breitband/schnelles_internet.php;2015-04-03;http://www.hausham.de/hausham/breitband/schnelles_internet.php;;;;;;;;;;;;
;09275126;Niederbayern;Passau;Hauzenberg, St;<b>1: </b>  2014-05-14 ||<b>2: </b>2015-08-08;http://www.hauzenberg.de/index.php?wttop=&wtnavi=navi.php?&wtsectionid=3&wtmain=wirtschaft/dsl-breitband-2014.html||http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Hauzenberg/HauzenbergII.aspx;<b>1: </b>  2014-11-21 ||<b>2: </b>2015-08-08;http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Hauzenberg.aspx||http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Hauzenberg/HauzenbergII.aspx;<b>1: </b> 2015-02-17;http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Hauzenberg.aspx;<b>1: </b> 2015-02-17;http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Hauzenberg.aspx;<b>1: </b> 2015-07-29;http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Hauzenberg/HauzenbergI.aspx;;;<b>1: </b> 2015-09-29;http://www.landkreis-passau.de/Sonstiges/Breitband-Gemeinden/Hauzenberg/HauzenbergI.aspx;;;;;;
27.05.2015_4;09778149;Schwaben;Unterallgäu;Hawangen;2014-10-10;http://www.ottobeuren.de/de/marktgemeinde/rathaus/breitband_hawangen.php;2014-10-10;http://www.ottobeuren.de/de/marktgemeinde/rathaus/breitband_hawangen.php;2015-03-11;http://www.ottobeuren.de/de/marktgemeinde/rathaus/breitband_hawangen.php;2015-03-11*;http://www.ottobeuren.de/de/marktgemeinde/rathaus/breitband_hawangen.php;;;;;;;;;;;;
;09674147;Unterfranken;Haßberge;Haßfurt, St;2013-09-20;http://www.hassfurt.de;2014-04-05;http://www.hassfurt.de;2014-09-11;http://www.hassfurt.de/start.phtml;2014-09-11;http://www.hassfurt.de/start.phtml;2015-04-02;http://www.hassfurt.de/start.phtml;;;;;;;;;;
;09277124;Niederbayern;Rottal-Inn;Hebertsfelden;2015-02-12;http://www.hebertsfelden.de/gemeinde-hebertsfelde/breitbandausbau/;2015-02-12;http://www.hebertsfelden.de/gemeinde-hebertsfelde/breitbandausbau/;2015-08-19;http://www.hebertsfelden.de/gemeinde-hebertsfelde/breitbandausbau/;2015-08-19;http://www.hebertsfelden.de/gemeinde-hebertsfelde/breitbandausbau/;;;;;;;;;;;;
30.07.2015_4;09174122;Oberbayern;Dachau;Hebertshausen;<b>1: </b>  2014-04-16 ||<b>2: </b>2015-03-17;||http://www.hebertshausen.de/AktuellesBuergerinfo/Breitbandausbau/BreitbandausbauGaensstall,Sulzrain,Kaltmuehle.aspx;<b>1: </b>  2014-06-18 ||<b>2: </b>2015-03-17;||http://www.hebertshausen.de/AktuellesBuergerinfo/Breitbandausbau/BreitbandausbauGaensstall,Sulzrain,Kaltmuehle.aspx;<b>1: </b>  2014-08-20 ||<b>2: </b>2015-06-30;||http://www.hebertshausen.de/AktuellesBuergerinfo/Breitbandausbau/BreitbandausbauGaensstall,Sulzrain,Kaltmuehle.aspx;<b>1: </b>  2014-08-20 ||<b>2: </b>2015-06-30*;||http://www.hebertshausen.de/AktuellesBuergerinfo/Breitbandausbau/BreitbandausbauGaensstall,Sulzrain,Kaltmuehle.aspx;<b>1: </b> 2014-11-27;;<b>1: </b> 2015-05-20;;<b>1: </b> 2015-05-29;;<b>1: </b> 2015-05-30;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10267/150528_Fördersteckbrief_Hebertshausen.pdf;;;;
;09576126;Mittelfranken;Roth;Heideck, St;2014-01-04;;2014-04-02;;2014-06-26;;2014-06-26;;2014-10-23;;2014-10-24;;2014-11-15;;2014-11-19;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10085/141117_Fördersteckbrief_Heideck.pdf;;;;
;09577140;Mittelfranken;Weißenburg-Gunzenhausen;Heidenheim, M;2013-08-31;;2014-02-21;;2014-09-05;;2014-09-23;;2014-11-29;;2015-02-02;;2015-05-21;;2015-07-15;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10329/150710_Fördersteckbrief%20Heidenheim.pdf;;;;
;09671126;Unterfranken;Aschaffenburg;Heigenbrücken;2013-10-26;;2013-12-17;;2014-02-12;;2014-02-12;;2014-07-25;;2014-10-24;;2014-10-31;;2015-03-17;http://schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10192/150313_Fördersteckbrief_Heigenbrücken.pdf;2015-10-09;http://schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10436/151008_Projektbeschreibung_Heigenbruecken.pdf;;
;09471142;Oberfranken;Bamberg;Heiligenstadt i.OFr., M;2015-04-21;http://www.markt-heiligenstadt.de/aktuelles/breitbandversorgung;2015-04-21;http://breitband.regensburg-it.de/heiligenstadt_ba#markterkundung-bekanntmachung;;;;;;;;;;;;;;;;
;09571165;Mittelfranken;Ansbach;Heilsbronn, St;2014-09-02;http://www.heilsbronn.de/index.php?id=494;2014-09-02;http://www.heilsbronn.de/index.php?id=494;2015-03-31;http://www.heilsbronn.de/index.php?id=494;2015-03-31;http://www.heilsbronn.de/index.php?id=494;2015-08-25;http://www.heilsbronn.de/index.php?id=494;;;;;;;;;;
;09671127;Unterfranken;Aschaffenburg;Heimbuchenthal;2013-07-05;;2013-08-28;;2013-11-20;;2013-11-20;;2014-04-26;;2014-07-24;;2014-08-22;;2014-10-10;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10013/141009_Fördersteckbrief_Heimbuchenthal.pdf;2014-12-18;http://schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10116/141217_Heimbuchenthal.pdf;;
;09776114;Schwaben;Lindau;Heimenkirch, M;2014-09-23;http://www.heimenkirch.de/de/unsere-heimatgemeinde/unser-ort/breitbandausbau.html;2014-09-23;http://www.heimenkirch.de/de/unsere-heimatgemeinde/unser-ort/breitbandausbau.html;;;;;;;;;;;;;;;;
;09472150;Oberfranken;Bayreuth;Heinersreuth;2014-01-21;http://www.heinersreuth.de/index.php?page=breitband;2014-08-01;http://www.heinersreuth.de/index.php?page=breitband;2014-12-24;http://www.heinersreuth.de/index.php?page=breitband;2014-12-24;http://www.heinersreuth.de/index.php?page=breitband;2015-05-27;http://www.heinersreuth.de/index.php?page=breitband;;;;;;;;;;
;09671128;Unterfranken;Aschaffenburg;Heinrichsthal;2013-09-04;;2013-10-26;;2013-12-06;;2013-12-06;;2014-05-09;;2014-07-24;;2014-09-26;;2014-10-10;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10012/150331_Fördersteckbrief_Heinrichsthal.pdf;2015-07-28;http://www.schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10333/150727_Projektbeschreibung_Heinrichsthal.pdf;;
;09183120;Oberbayern;Mühldorf;Heldenstein;2015-02-18;http://breitband.regensburg-it.de/heldenstein;2015-02-18;http://breitband.regensburg-it.de/heldenstein;;;;;;;;;;;;;;;;
;09475136;Oberfranken;Hof;Helmbrechts, St;2014-10-11;http://www.stadt-helmbrechts.de/city_info/webaccessibility/index.cfm?region_id=26&waid=297&item_id=863410&oldrecord=63760&oldmodul=5&olddesign=0&oldkeyword=0&oldeps=20&oldaz=all&oldcat=0&fsize=1&contrast=0;2014-10-11;http://www.stadt-helmbrechts.de/city_info/webaccessibility/index.cfm?region_id=26&waid=297&item_id=863410&oldrecord=63760&oldmodul=5&olddesign=0&oldkeyword=0&oldeps=20&oldaz=all&oldcat=0&fsize=1&contrast=0;2015-03-21;http://www.stadt-helmbrechts.de/city_info/webaccessibility/index.cfm?region_id=26&waid=297&item_id=863410&oldrecord=100469&oldmodul=5&olddesign=0&oldkeyword=0&oldeps=20&oldaz=all&oldcat=0&fsize=1&contrast=0;2015-07-11;http://www.stadt-helmbrechts.de/city_info/webaccessibility/index.cfm?region_id=26&waid=297&item_id=863410&oldrecord=100469&oldmodul=5&olddesign=0&oldkeyword=0&oldeps=20&oldaz=all&oldcat=0&fsize=1&contrast=0;2015-10-27;http://www.stadt-helmbrechts.de/city_info/webaccessibility/index.cfm?region_id=26&waid=297&item_id=863410&oldrecord=100469&oldmodul=5&olddesign=0&oldkeyword=0&oldeps=20&oldaz=all&oldcat=0&fsize=1&contrast=0;;;;;;;;;;
;09679144;Unterfranken;Würzburg;Helmstadt, M;2014-11-13;http://www.helmstadt-ufr.de/index.php?id=1719,78;2014-11-13;http://www.helmstadt-ufr.de/index.php?id=1719,78;;;;;;;;;;;;;;;;
;09375148;Oberpfalz;Regensburg;Hemau, St;2014-06-06;http://www.hemau.de/aktuell.asp?naviid={54D70ECE-58F2-4877-9C08-A32A753FBAC3}&orgid={FAB6A02D-0CE6-43FB-A6DC-EB346847991A};2014-08-19;http://www.hemau.de/orgdata.asp?NAVIID={172802C5-7893-4DF5-9F73-4421C9B87454};2014-12-31;http://www.hemau.de/aktuell.asp?naviid={54D70ECE-58F2-4877-9C08-A32A753FBAC3}&orgid={E758F336-37B3-4478-B8C9-9C4F80A42A39};2015-02-14;http://www.hemau.de/aktuell.asp?naviid={54D70ECE-58F2-4877-9C08-A32A753FBAC3}&orgid={E758F336-37B3-4478-B8C9-9C4F80A42A39};2015-06-27;http://www.hemau.de/aktuell.asp?naviid={54D70ECE-58F2-4877-9C08-A32A753FBAC3}&orgid={E758F336-37B3-4478-B8C9-9C4F80A42A39};2015-09-16;http://www.hemau.de/aktuell.asp?naviid={54D70ECE-58F2-4877-9C08-A32A753FBAC3}&orgid={E758F336-37B3-4478-B8C9-9C4F80A42A39};2015-10-02;http://www.hemau.de/aktuell.asp?naviid={54D70ECE-58F2-4877-9C08-A32A753FBAC3}&orgid={E758F336-37B3-4478-B8C9-9C4F80A42A39};;;;;;
;09575130;Mittelfranken;Neustadt a.d. Aisch;Hemmersheim;2014-09-17;http://www.hemmersheim.de/v3/index.php/breitband;2014-09-17;http://www.hemmersheim.de/v3/index.php/breitband;2015-05-01;http://www.hemmersheim.de/v3/index.php/breitband;2015-05-01;http://www.hemmersheim.de/v3/index.php/breitband;;;;;;;;;;;;
;09673130;Unterfranken;Rhön-Grabfeld;Hendungen;2014-04-04;;2014-07-02;;2014-08-12;;2014-08-12;;2014-12-05;;2015-02-02;;2015-02-24;;2015-02-27;http://schnelles-internet-in-bayern.de/ablage_foerderfortschritt/pdf/10175/150224_Fördersteckbrief_Hendungen.pdf;;;;
;09574131;Mittelfranken;Nürnberger Land;Henfenfeld;<em> 2014-09-04</em>;;<em> 2014-09-04</em>;;;;;;;;;;;;;;;;ausgesetzt_2015-07-13
;09271125;Niederbayern;Deggendorf;Hengersberg, M;2015-01-30;http://www.hengersberg.de;2015-01-30;http://breitband.regensburg-it.de/hengersberg;;;;;;;;;;;;;;;;
;09176131;Oberbayern;Eichstätt;Hepberg;2015-09-22;http://www.hepberg.de/Startseite/Aktuelles.aspx?rssid=0b46b049-8172-4a93-bb17-30a1c60667c9;;;;;;;;;;;;;;;;;;
